bairro,cidade,estado,lat,lng
PQ SANTA MONICA,São Carlos,SP,-22.0111436,-47.9028055
PQ FABER IV,São Carlos,SP,-22.0082831,-47.9259705
PQ ITAIPU,São Carlos,SP,-22.0639258,-47.8089166
ZONA RURAL,São Carlos,SP,,
DAMHA II,São Carlos,SP,-21.9688567,-47.8983438
PQ FABER CASTELL IV,São Carlos,SP,,
VL ISABEL,São Carlos,SP,-22.034682,-47.8839886
LOTEAMENTO SOCIAL ANTENOR GARC,São Carlos,SP,,
PROLONGAMENTO MEDEIROS,São Carlos,SP,-22.037931,-47.9156381
PQ SISI,São Carlos,SP,-22.0030414,-47.923596
CONJUNTO HABITACIONAL DOM CONS,São Carlos,SP,,
JD SOCIAL BELVEDERE,São Carlos,SP,,
RESIDENCIAL PROGRESSO,São Carlos,SP,,
JD IPANEMA,São Carlos,SP,,
VL SANTA MADRE CABRINI,São Carlos,SP,-22.0500052,-47.8936026
VL IRENE,São Carlos,SP,-22.0309523,-47.8837724
JD NOVA SANTA PAULA,São Carlos,SP,-22.3610149,-46.9315456
JD CARDINALLI,São Carlos,SP,,
JD MERCEDES,São Carlos,SP,,
JD LETICIA,São Carlos,SP,,
DREAM SANTO ANTONIO,São Carlos,SP,,
VL RANCHO VELHO,São Carlos,SP,-22.0151582,-47.8710331
CID ARACY II,São Carlos,SP,,
RECANTO DO SABIÁ,São Carlos,SP,,
BROA,São Carlos,SP,-22.1681779,-47.902851
JD NOSSA SENHORA APARECIDA,São Carlos,SP,,
JD PRESIDENTE COLLOR,São Carlos,SP,,
JD JACOBUCCI,São Carlos,SP,,
JD SANTA JULIA,São Carlos,SP,,
CONJUNTO HAB SANTA ANGELINA,São Carlos,SP,,
JD DO PORTO,São Carlos,SP,,
LOT HABITACIONAL SÃO CARLOS 1,São Carlos,SP,,
JD DE CRESCI,São Carlos,SP,,
CASTELO BRANCO,São Carlos,SP,-22.0294495,-47.8706736
PORTAL DO VALE II,São Carlos,SP,,
JD VISTA ALEGRE,São Carlos,SP,,
VILLAGE DAMHA IV,São Carlos,SP,-21.9774838,-47.8905881
AZULVILLE I,São Carlos,SP,-22.0272852,-47.8677352
JD BICÃO,São Carlos,SP,,
VL DERIGGI,São Carlos,SP,-22.0109707,-47.8781453
RESIDENCIAL PQ DOURADINHO,São Carlos,SP,,
RESIDENCIAL PARATI,São Carlos,SP,-21.9916642,-47.917467
JD GILBERTONI,São Carlos,SP,,
BOA VISTA,São Carlos,SP,-22.034209,-47.8987459
PQ RES MARIA STELLA FAGA,São Carlos,SP,,
PQ ARNOLD SHIMIDT,São Carlos,SP,,
ARACE DE SANTO ANTONIO,São Carlos,SP,-21.9428821,-47.9431771
BROA ECO VILLAGE,São Carlos,SP,,
JD SÃO CARLOS 5,São Carlos,SP,,
RES ARCOVILLE,São Carlos,SP,,
NÚCLEO RES SILVIO VILARI,São Carlos,SP,,
JD DAS TORRES PROLONGAMENTO,São Carlos,SP,,
